cpu	450.000000
16751599687452	16751602240075
16751602645041	16751602691509
16751603685939	16751603731143
16751604676741	16751604728575
16751605731873	16751605777248
16751606779117	16751606824343
16751607825209	16751607877011
16751608877269	16751608922569
16751609937487	16751609982769
16751610910175	16751610955543
16751611960509	16751612005788
16751613021479	16751613066971
16751614059831	16751614183641
16751615111151	16751615156537
16751616208981	16751616255312
16751624866242	16751624934474
16751625615369	16751625661173
16751626524211	16751626569460
16751627574093	16751627619594
16751628572107	16751628617473
16751629626519	16751629671781
16751630671377	16751630723393
16751631722869	16751631768097
16751632772775	16751632818037
16751633841395	16751633887053
16751634815351	16751634861493
16751635869425	16751635914585
16751636912463	16751636963999
16751638010419	16751638055835
16751639561665	16751639610462
16751640126009	16751640171641
16751641180321	16751641225823
16751642667269	16751642714416
16751643287781	16751643333205
16751644345459	16751644390676
16751645390649	16751645435804
16751646387517	16751646433010
16751647445603	16751647490881
16751648491315	16751648536574
16751649540557	16751650019481
16751650606987	16751650652652
16751651658339	16751651703573
16751652600497	16751652652015
16751653650921	16751653696195
16751654704163	16751654749386
16751655748701	16751655800311
16751656800537	16751656845754
16751657861113	16751657906342
16751658891149	16751658942869
16751659940111	16751659985523
16751661042573	16751661088771
