1
71 0
0 1280.000000 204.753647 -81.971596 -0.295520 -0.213142 0.931256 0.000000 0.974794 0.223106 1.000000 0.008000 1.000000 1.000000 0.800000 100.000000 1.552000 4.712389
40 1280.000000 204.753647 -81.971596 -0.295520 -0.213142 0.931256 0.000000 0.974794 0.223106 1.000000 0.010000 1.000000 1.000000 0.800000 100.000000 1.552000 4.712389 
80 1280.000000 204.753647 -81.971596 -0.295520 -0.213142 0.931256 0.000000 0.974794 0.223106 1.000000 0.010000 1.000000 1.000000 0.800000 100.000000 1.485000 4.712389 
120 1217.943359 159.994064 113.592216 -0.295520 -0.213142 0.931256 0.000000 0.974794 0.223106 1.000000 0.010000 1.000000 1.000000 0.800000 100.000000 1.445133 4.712389 
160 1178.081665 134.311600 239.911377 -0.294796 -0.144440 0.944580 0.020669 0.987315 0.157425 1.000000 0.014000 1.000000 1.000000 0.800000 100.000000 1.350885 4.712389 
200 1129.439697 110.479050 395.767090 -0.294796 -0.144440 0.944580 0.020669 0.987315 0.157425 1.000000 0.014000 1.000000 1.000000 0.813000 100.000000 1.193805 4.712389 
240 1082.271729 87.368698 546.899902 -0.294796 -0.144440 0.944580 0.020669 0.987315 0.157425 1.000000 0.018000 1.000000 1.000000 0.836000 100.000000 0.768000 4.670000 
280 1041.943115 72.927513 642.764954 -0.478716 -0.128462 0.868521 -0.097652 0.990891 0.092737 1.000000 0.015000 1.000000 1.000000 0.850000 100.000000 0.658000 4.420000 
320 984.219299 60.741550 747.218018 -0.484373 -0.058842 0.872880 -0.063930 0.997449 0.031763 1.000000 0.010000 1.000000 1.000000 0.870000 100.000000 0.345000 3.080000 
360 911.425720 83.373215 884.472717 -0.486759 -0.013912 0.873426 0.106146 0.991522 0.074948 1.000000 0.010000 1.000000 1.000000 0.899000 100.000000 0.314159 1.880000 
400 867.617737 86.300003 963.080994 -0.031361 -0.071998 0.996912 0.253474 0.964224 0.077611 1.000000 0.010000 1.000000 1.000000 0.910000 100.000000 0.314159 1.670000 
440 883.000000 82.782082 1088.071777 0.242603 -0.061717 0.968160 0.255169 0.966894 -0.002305 1.000000 0.010000 1.000000 1.000000 0.920000 100.000000 0.376991 1.570796 
480 1041.203247 62.781227 1276.165405 0.880163 -0.010497 0.474555 0.068977 0.991972 -0.105991 1.000000 0.010000 1.000000 1.000000 0.920000 100.000000 0.449000 1.570796 
520 1287.580444 60.163574 1383.706909 0.952958 -0.008692 0.302977 -0.033400 0.990490 0.133469 1.000000 0.010000 1.000000 1.000000 0.915000 100.000000 0.471239 1.570796 
560 1440.053101 58.772827 1432.183472 0.952958 -0.008692 0.302977 -0.033400 0.990490 0.133469 1.000000 0.010000 1.000000 1.000000 0.915000 100.000000 0.471239 1.570796 
600 1598.792358 52.144367 1521.098267 0.732542 -0.036610 0.679736 -0.055398 0.992035 0.113130 1.000000 0.010000 1.000000 1.000000 0.920000 100.000000 0.471239 1.570796 
640 1683.034912 47.934258 1599.267944 0.723352 0.062611 0.687635 -0.128253 0.990733 0.044705 1.000000 0.010000 1.000000 1.000000 0.940000 100.000000 0.471239 1.570796 
680 1768.065552 52.826324 1734.789673 0.722034 0.072516 0.688047 -0.135480 0.990058 0.037826 1.000000 0.010000 1.000000 1.000000 0.945000 100.000000 0.471239 1.570796 
720 1867.360962 64.890610 1774.656860 0.697231 0.205108 0.686877 -0.231426 0.971290 -0.055122 1.000000 0.010000 1.000000 1.000000 0.944000 100.000000 0.471239 1.570796 
760 1954.739624 103.411758 1862.867065 0.698379 0.200249 0.687144 -0.227937 0.972303 -0.051687 1.000000 0.020000 1.000000 1.000000 0.960000 100.000000 0.471239 1.570796 
800 2042.513916 152.889038 1953.269775 0.726332 0.037827 0.686302 -0.110131 0.991989 0.061880 1.000000 0.020000 1.000000 1.000000 0.950000 100.000000 0.471239 1.570796 
840 2092.174072 156.803833 2015.869385 0.565826 -0.048684 0.823086 -0.283895 0.925713 0.249917 1.000000 0.020000 1.000000 1.000000 0.950000 100.000000 0.471239 1.570796 
880 2129.000000 151.599548 2141.397705 0.398572 -0.160934 0.902907 -0.281664 0.915428 0.287503 1.000000 0.010000 1.000000 1.000000 0.944000 100.000000 0.471239 1.570796 
920 2122.000000 99.383514 2299.248047 -0.394726 -0.001389 0.918798 -0.209625 0.973761 -0.088583 1.000000 0.010000 1.000000 1.000000 0.950000 100.000000 0.471239 1.570796 
960 2067.566650 111.276443 2360.000000 -0.983056 -0.166087 -0.077568 -0.141290 0.956130 -0.256619 1.000000 0.030000 1.000000 1.000000 0.940000 100.000000 0.471239 1.570796 
1000 1779.000000 115.800003 2349.000000 -0.848471 -0.152795 -0.506706 -0.027554 0.968872 -0.246023 1.000000 0.090000 1.000000 1.000000 0.945000 100.000000 0.471239 1.570796 
1040 1523.098999 90.261520 2164.552002 -0.756961 0.079102 -0.648654 0.172856 0.981526 -0.082023 1.000000 0.228000 1.000000 1.000000 0.945000 94.000000 0.471239 1.570796 
1080 1376.372925 117.637283 2018.561523 -0.591008 0.142272 -0.794020 0.251239 0.967830 -0.013588 1.000000 0.250000 1.000000 1.000000 0.950000 72.300003 0.471239 1.570796 
1120 1342.832397 146.023361 1966.565186 -0.512419 0.372777 -0.773605 0.387088 0.904419 0.179412 1.000000 0.260000 1.000000 1.000000 0.950000 69.300003 0.471239 1.570796 
1160 1296.087280 185.959106 1893.969482 -0.597103 0.118034 -0.793433 0.236386 0.971084 -0.033432 1.000000 0.331000 1.000000 1.000000 0.940000 68.900002 0.471239 1.570796 
